"customer_id","created_at","type","currency","transaction_name","transaction_amount","transaction_amount_usd"
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:05:00",1,"ZAR","FiatDeposit",30000,448885.568422363
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:06",4,"ZAR","Bid",0,0
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:06",7,"XBT","TradeBuy",0.736615,177.47265195
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:06",22,"XBT","TradeBidFeeDebit",-0.00736599999999998,-1.77469038
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:06",7,"XBT","TradeBuy",0.03496,8.4229128
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:06",22,"XBT","TradeBidFeeDebit",-0.000349000000000044,-0.0840845700000105
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",0.0512,12.335616
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.000511999999999957,-0.12335615999999
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",0.0550999999999999,13.275243
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.000550999999999968,-0.132752429999992
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",0.0551,13.275243
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.000551000000000079,-0.132752430000019
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",0.0551,13.275243
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.000550999999999968,-0.132752429999992
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",2,481.86
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.02,-4.8186
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",7,"XBT","TradeBuy",1.301315,313.52582295
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:11:07",22,"XBT","TradeBidFeeDebit",-0.0130129999999999,-3.13522208999999
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:15:44",4,"ZAR","Bid",0,0
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:15:45",7,"XBT","TradeBuy",0.00118799999999997,0.286224839999992
"a1718fd0b29f02fba35983ef95383b42","2015-09-09 15:15:45",22,"XBT","TradeBidFeeDebit",-1.09999999997612e-05,-0.00265022999994247
